Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Delson Nathan Joseph,MAE 7 - Spatial Visualization (B),WI19,100.0%,100.0%,2.32,A (4.00),
Delson Nathan Joseph,MAE 7 - Spatial Visualization (C),WI19,100.0%,100.0%,1.17,A (4.00),
Delson Nathan Joseph,MAE 7 - Spatial Visualization (D),WI19,100.0%,100.0%,0.5,A (4.00),
Pham Hieu Tan,MAE 8 - MATLAB Program for Engr Analys (A),WI19,80.4%,88.0%,7.62,B+ (3.33),B (3.22)
Hanes Esther,PSYC 1 - Psychology (A),WI19,99.1%,99.1%,3.67,A- (3.77),B+ (3.34)
Geiss Elisa G,PSYC 101 - Developmental Psychology (A),WI19,98.5%,97.7%,4.44,B+ (3.39),B (3.06)
Moranton Nirelia Melbina-,PSYC 102 - Sensory Neuroscience (A),WI19,87.2%,87.2%,6.08,B+ (3.44),B- (2.77)
Belding Jennifer,PSYC 104 - Social Psychology (A),WI19,93.4%,91.9%,5.83,B (3.23),B- (2.85)
Brady Timothy Francis,PSYC 105 - Cognitive Psychology (A),WI19,98.5%,98.5%,4.57,B+ (3.52),B (3.15)
Dobkins Karen R.,PSYC 106 - Behavioral Neuroscience (A),WI19,92.2%,89.8%,4.97,B- (2.99),B- (2.76)
Heyman Gail D.,PSYC 110 - Junior Honors Research Seminar (A),WI19,95.8%,91.7%,2.66,A- (3.80),A- (3.89)
Geller Emma Harlan,PSYC 111A - Research Methods I (A),WI19,91.2%,97.1%,8.39,B+ (3.60),B+ (3.57)
Pashler Harold E,PSYC 115A - Lab/Cognitive Psychology I (A),WI19,85.7%,85.7%,3.64,A- (3.71),
Lang Ariel,PSYC 116B - Lab/Clinical Psych Research II (A),WI19,90.0%,90.0%,4.3,A- (3.80),
Winward Jennifer Laven,PSYC 116B - Lab/Clinical Psych Research II (B),WI19,75.0%,87.5%,5.5,B+ (3.50),A- (3.72)
Rose Fred E.,PSYC 125 - Clinical Neuropsychology (A),WI19,91.5%,96.6%,4.4,B+ (3.38),B (3.08)
Accomando Alyssa Wheeler,PSYC 138 - Sound And Music Perception (A),WI19,90.9%,92.7%,4.11,B+ (3.42),B+ (3.33)
Root Nicholas Bernard,PSYC 142 - Psychology of Consciousness (A),WI19,93.2%,100.0%,4.27,B+ (3.31),B- (2.73)
Wixted John T,PSYC 144 - Memory and Amnesia (A),WI19,92.5%,98.1%,5.15,B+ (3.45),B- (2.76)
Glaser Dale,PSYC 151 - Tests and Measurement (A),WI19,77.8%,88.9%,3.83,B (3.13),B- (2.88)
Harris Christine Renee,PSYC 153 - Psychology of Emotion (A),WI19,93.8%,95.7%,4.92,B (3.23),B- (2.72)
Lacefield Katharine I,PSYC 154 - Behavior Modification (A),WI19,96.0%,97.8%,4.32,B+ (3.57),B+ (3.52)
St John Mark F.,PSYC 161 - Engineering Psychology (A),WI19,65.9%,63.6%,4.64,B (3.19),B- (2.87)
Gorman Michael R.,PSYC 172 - Psychology of Human Sexuality (A),WI19,87.7%,76.4%,5.35,B (3.07),B- (2.95)
Brady Timothy Francis,PSYC 174 - Visual Cognition (B),WI19,93.7%,96.8%,4.44,B+ (3.40),B (3.05)
Hanes Esther,PSYC 180 - Adolescence (A),WI19,97.3%,97.3%,3.61,B+ (3.68),B+ (3.61)
Fletcher Laura Michelle,PSYC 182 - Illusions and the Brain (B),WI19,87.5%,88.9%,3.04,B+ (3.61),B (3.26)
Brady Adena Schachner,PSYC 187 - Development/Social Cognition (A),WI19,92.3%,100.0%,3.12,A- (3.77),B (3.19)
Gentner Tim,PSYC 189 - Brain Behavior and Evolution (A),WI19,85.7%,92.9%,6.07,B+ (3.57),B- (2.84)
Dobkins Karen R.,PSYC 193 - Topics in Psychology (A),WI19,100.0%,100.0%,3.25,A- (3.88),
Willis Jarryd Thomas,PSYC 193 - Topics in Psychology (B),WI19,80.0%,100.0%,3.3,A- (3.80),
Geiss Elisa G,PSYC 193 - Topics in Psychology (C),WI19,81.3%,68.8%,2.75,B+ (3.69),B+ (3.52)
Serences John Thomas,PSYC 193 - Topics in Psychology (D),WI19,86.7%,100.0%,4.37,B+ (3.36),B (3.12)
Frederick David A,PSYC 193L - Psychology Laboratory Topics (A),WI19,100.0%,100.0%,5.47,B+ (3.68),A- (3.74)
Frederick David A,PSYC 193L - Psychology Laboratory Topics (B),WI19,100.0%,100.0%,6.93,B+ (3.57),A- (3.74)
Heyman Gail D.,PSYC 194B - Honors Thesis II (A),WI19,100.0%,100.0%,7.7,A (4.00),A (4.00)
Stoermer Viola Sophie,PSYC 2 - Gen Psych:Biological Foundatns (A),WI19,91.0%,89.7%,3.25,B+ (3.51),B (3.04)
Winward Jennifer Laven,PSYC 4 - General Psychology: Behavioral (A),WI19,92.0%,95.3%,4.01,B+ (3.39),B- (2.75)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (A),WI19,93.1%,96.9%,4.81,B (3.28),B- (2.77)
Steiner Eric Tomas,PSYC 60 - Introduction to Statistics (B),WI19,87.3%,94.7%,4.1,B (3.24),B- (2.77)
Geller Emma Harlan,PSYC 70 - Research Methods in Psychology (A),WI19,89.9%,97.1%,4.82,B+ (3.33),B (3.13)
Mc Culloch Andrew Douglas,BENG 110 - Foundation of Biomechanics (A),FA18,96.8%,93.5%,5.79,B+ (3.58),B (3.25)
Valdez-Jasso Daniela,BENG 110 - Foundation of Biomechanics (B),FA18,76.9%,69.2%,8.04,B+ (3.62),B (3.13)
Metallo Christian Michael,BENG 122A - Biosystems and Control (A),FA18,94.1%,88.2%,6.38,A- (3.71),B+ (3.47)
Wheeler Bruce Christopher,BENG 126A - Design Dev Bioinformatics BENG (A),FA18,100.0%,100.0%,8.5,B+ (3.67),
Coleman Todd Prentice,BENG 134 - Measurements/Stats/Probability (A),FA18,87.5%,93.8%,17.25,B (3.19),B+ (3.63)
Wheeler Bruce Christopher,BENG 135 - Biomedical Signals & Systems (A),FA18,66.7%,100.0%,6.5,B+ (3.67),
Lal Ratnesh,BENG 141 - Biomedical Optics and Imaging (A),FA18,93.1%,89.7%,4.98,A- (3.76),B+ (3.66)
Wheeler Bruce Christopher,BENG 148A - Design Developmnt Cardiac BENG (A),FA18,100.0%,100.0%,11.5,B+ (3.50),
Fraley Stephanie I.,BENG 161A - Bioreactor Engineering (A),FA18,90.9%,89.1%,9.52,B+ (3.31),B (3.02)
Mali Prashant Gulab Ram,BENG 162 - Biotechnology Laboratory (A),FA18,84.2%,89.5%,8.68,B+ (3.53),B (3.16)
Sah Robert Lie-Yuan,BENG 166A - Cell and Tissue Engineering (A),FA18,14.6%,20.0%,9.85,B (3.22),B+ (3.40)
Wheeler Bruce Christopher,BENG 169A - Design Developmnt Tissue Engin (A),FA18,100.0%,100.0%,3.5,A (4.00),
Wheeler Bruce Christopher,BENG 179A - Design Develop.Bioinstrumntatn (A),FA18,66.7%,66.7%,8.21,A (4.00),A- (3.93)
Zhong Sheng,BENG 183 - Applied Genomic Technologies (A),FA18,69.2%,76.0%,3.02,B+ (3.59),B+ (3.54)
Wheeler Bruce Christopher,BENG 187B - BENG Design Project:Developmnt (A),FA18,76.7%,89.7%,6.91,A (4.00),
Engler Adam J.,BENG 193 - Clinical Bioengineering (A),FA18,100.0%,100.0%,7.39,A (4.00),A- (3.88)
Wheeler Bruce Christopher,BENG 2 - Intro Computer Prog & MATLAB (A),FA18,72.7%,72.7%,6.5,B+ (3.33),
Mc Culloch Andrew Douglas,BENG 87 - Freshman Seminar (A),FA18,90.9%,100.0%,0.83,B+ (3.50),
Omens Jeffrey Howard,BENG 87 - Freshman Seminar (A),FA18,90.9%,100.0%,0.83,B+ (3.50),
Porter Leonard Emerson,CSE 100 - Advanced Data Structures (A),FA18,93.1%,96.2%,11.04,B+ (3.40),B (3.10)
Sahoo Debashis,CSE 100 - Advanced Data Structures (B),FA18,88.4%,74.1%,11.29,B (3.27),B (3.01)
Kane Daniel Mertz,CSE 101 - Design & Analysis of Algorithm (A),FA18,93.8%,95.2%,12.31,B (3.11),B (3.16)
Ochoa Benjamin Lawrence,CSE 101 - Design & Analysis of Algorithm (B),FA18,87.0%,78.3%,7.99,B (3.23),C+ (2.59)
Freund Yoav,CSE 103 - Practical Intro/Prob & Stats (A),FA18,45.5%,49.1%,6.84,B (3.26),B+ (3.42)
Jones Miles E,CSE 105 - Theory of Computation (A),FA18,96.4%,96.2%,7.61,B+ (3.33),B- (2.89)
Jones Miles E,CSE 105 - Theory of Computation (B),FA18,79.5%,88.6%,8.14,B+ (3.38),B- (2.89)
Bellare Mihir,CSE 107 - Intro to Modern Cryptography (A),FA18,91.3%,78.3%,7.75,B- (2.83),B (3.12)
Ord Richard,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA18,91.8%,92.0%,12.02,B+ (3.53),B+ (3.47)
Ord Richard,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),FA18,96.3%,96.3%,11.01,A- (3.80),B+ (3.47)
Gillespie Gary N,CSE 110 - Software Engineering (A),FA18,65.0%,57.7%,10.01,B+ (3.53),B+ (3.31)
Weibel Nadir,CSE 118 - Ubiquitous Computing (A),FA18,85.7%,85.7%,7.07,B (3.29),
Allos Haytham Issa,CSE 12 - Basic Data Struct & OO Design (A),FA18,88.2%,87.4%,11.07,B+ (3.47),B (3.06)
Zaitsev Anna L,CSE 12 - Basic Data Struct & OO Design (B),FA18,85.4%,73.0%,10.48,B+ (3.35),B (3.02)
Zhou Yuan-Yuan,CSE 120 - Princ/Computer Operating Systm (A),FA18,92.9%,87.5%,9.83,B+ (3.43),B- (2.77)
Zhou Yuan-Yuan,CSE 120 - Princ/Computer Operating Systm (B),FA18,84.2%,89.5%,9.92,B (3.26),B- (2.77)
Snoeren Alex C.,CSE 123 - Computer Networks (B),FA18,97.4%,94.6%,9.61,B (3.14),B- (2.86)
Savage Stefan,CSE 127 - Intro to Computer Security (A),FA18,91.7%,91.7%,9.15,B (3.24),B (3.07)
Lerner Sorin,CSE 130 - Progrmng Lang:Princpl&Paradigm (B),FA18,95.5%,99.4%,7.81,B+ (3.59),B+ (3.43)
Jhala Ranjit,CSE 131 - Compiler Construction (A),FA18,95.5%,100.0%,8.86,B+ (3.65),B+ (3.48)
Vianu Victor Dan,CSE 132A - Database System Principles (A),FA18,89.5%,81.6%,6.34,B (3.19),B- (2.77)
Powell Thomas Allan,CSE 134B - Web Client Languages (A),FA18,76.5%,70.6%,9.15,B (3.26),B- (2.89)
Chin Bryan W.,CSE 140 - Component&Desgn Tech/Digtl Sys (A),FA18,78.9%,86.2%,7.1,B (3.19),B (3.12)
Eldon John,CSE 140L - Digital Systems Laboratory (A),FA18,74.1%,71.9%,7.35,A- (3.80),A- (3.78)
Swanson Steven James,CSE 141 - Intro/Computer Architecture (A),FA18,79.4%,76.5%,7.97,B (3.18),B (3.23)
Eldon John,CSE 141L - Project/Computer Architecture (A),FA18,66.7%,91.7%,9.2,B+ (3.35),B (3.28)
Alvarado Christine J.,CSE 150 - Int Artif Intell:Search&Reason (A),FA18,93.8%,97.5%,11.5,B+ (3.40),B- (2.91)
Su Hao,CSE 152 - Intro to Computer Vision (A),FA18,81.3%,81.3%,10.86,B+ (3.38),B (3.26)
McAuley Julian John,CSE 158 - Recommender Sys&Web Mining (A),FA18,85.0%,82.3%,9.47,B+ (3.36),B+ (3.46)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (A),FA18,70.4%,61.4%,5.23,B (3.26),B (3.18)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (B),FA18,72.4%,64.0%,5.24,B (3.29),B (3.18)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (C),FA18,65.9%,53.8%,4.5,B (3.24),B (3.18)
Schulze Jurgen P.,CSE 167 - Computer Graphics (A),FA18,92.3%,92.3%,13.58,A- (3.73),B (3.17)
Guo Philip J,CSE 170 - Interaction Design (A),FA18,96.7%,100.0%,7.8,A- (3.84),A- (3.85)
Paturi Ramamohan,CSE 190 - Topics/Computer Sci & Engineer (A),FA18,100.0%,83.3%,11.33,A- (3.82),
Bandeira Nuno Filipe Cabrita,CSE 190 - Topics/Computer Sci & Engineer (B),FA18,87.5%,100.0%,6.0,B (3.25),
Cottrell Garrison W,CSE 190 - Topics/Computer Sci & Engineer (C),FA18,70.8%,72.7%,17.33,B+ (3.38),B+ (3.34)
Kumar Rakesh,CSE 190 - Topics/Computer Sci & Engineer (D),FA18,100.0%,100.0%,5.39,B+ (3.61),B (3.23)
Halicioglu Daniel T,CSE 191 - Semnr/Computer Sci & Engineer (A),FA18,100.0%,100.0%,1.3,A (4.00),A (4.00)
Alvarado Christine J.,CSE 193 - Introduction to CS Research (A),FA18,85.0%,100.0%,8.5,A- (3.90),A- (3.74)
Jones Miles E,CSE 20 - Intro/Discrete Mathematics (A),FA18,79.4%,87.7%,7.41,B (3.28),C+ (2.61)
Cosman Benjamin Leverett,CSE 20 - Intro/Discrete Mathematics (B),FA18,83.9%,87.1%,7.92,B (3.29),C (2.29)
Bach Quang Tran,CSE 21 - Math/Algorithm&Systems Analys (A),FA18,86.3%,93.1%,8.8,B (3.05),B (3.03)
Zaitsev Anna L,CSE 3 - Fluency/Information Technology (B),FA18,85.2%,92.6%,3.84,B+ (3.44),B+ (3.53)
Cao Yingjun,CSE 30 - Computer Organiz&Systms Progrm (A),FA18,81.0%,84.8%,14.12,B (3.08),C+ (2.65)
Cao Yingjun,CSE 30 - Computer Organiz&Systms Progrm (B),FA18,79.2%,87.7%,15.01,B- (2.74),C+ (2.65)
Swanson Steven James,CSE 42 - Bldg & Programming Elct Device (A),FA18,92.9%,100.0%,1.64,A (4.00),
Swanson Steven James,CSE 42 - Bldg & Programming Elct Device (B),FA18,77.8%,81.3%,1.94,A- (3.80),
Miranda Gregory Joseph,CSE 5A - Introduction to Programming I (A),FA18,78.9%,89.5%,8.5,B+ (3.41),B+ (3.42)
Cottrell Garrison W,CSE 87 - Freshman Seminar (A),FA18,85.7%,78.6%,0.63,A (4.00),
Minnes Kemp Mor Mia,CSE 8A - Intro/Computer Sci: Java (I) (A),FA18,96.0%,100.0%,8.81,B+ (3.59),B+ (3.56)
Politz Joseph Gibbs,CSE 8A - Intro/Computer Sci: Java (I) (B),FA18,97.5%,98.3%,8.61,B+ (3.55),B+ (3.50)
Minnes Kemp Mor Mia,CSE 8A - Intro/Computer Sci: Java (I) (C),FA18,96.7%,97.6%,8.35,B+ (3.62),B+ (3.56)
Politz Joseph Gibbs,CSE 8A - Intro/Computer Sci: Java (I) (D),FA18,93.0%,97.7%,9.12,B+ (3.67),B+ (3.50)
Cao Yingjun,CSE 8B - Intro/Computer Sci. Java (II) (A),FA18,90.0%,96.2%,12.5,B (3.28),B- (2.85)
Jemmott Colin William,CSE 91 - Perspectives in CSE (A),FA18,100.0%,100.0%,1.36,A (4.00),
Jemmott Colin William,CSE 91 - Perspectives in CSE (B),FA18,100.0%,100.0%,0.5,,
Fraenkel Aaron Mcmillan,CSE 91 - Perspectives in CSE (C),FA18,100.0%,100.0%,1.5,A (4.00),
Politz Joseph Gibbs,CSE 95 - Tutor Apprentice (B),FA18,85.2%,96.3%,1.61,B+ (3.38),
Politz Joseph Gibbs,CSE 95 - Tutor Apprentice (C),FA18,76.0%,96.0%,1.06,A (4.00),
Eldridge Justin Matthew,DSC 10 - Principles of Data Science (A),FA18,98.3%,98.3%,7.75,B+ (3.48),B- (2.94)
Fraenkel Aaron Mcmillan,DSC 10 - Principles of Data Science (B),FA18,96.0%,97.9%,7.34,B+ (3.40),B- (2.91)
Langlois Marina,DSC 20 - Intro to Data Structures (A),FA18,95.5%,77.3%,11.23,B+ (3.41),B- (2.83)
Langlois Marina,DSC 30 - Representations of Data (A),FA18,86.8%,89.2%,14.29,B (3.11),C+ (2.69)
Langlois Marina,DSC 30 - Representations of Data (B),FA18,66.7%,66.7%,14.5,B (3.00),
Tiefenbruck Janine LoBue,DSC 40A - Theor Fndtns of Data Sci I (A),FA18,91.2%,100.0%,7.53,B (3.29),B- (2.91)
Tiefenbruck Janine LoBue,DSC 40A - Theor Fndtns of Data Sci I (C),FA18,100.0%,100.0%,8.79,B (3.29),B- (2.91)
Eldridge Justin Matthew,DSC 40B - Theor Fndtns of Data Sci II (A),FA18,93.3%,100.0%,7.57,B- (2.79),C+ (2.59)
Sievenpiper Daniel F.,ECE 100 - Linear Electronic Systems (A),FA18,98.0%,96.0%,9.77,B (3.11),C+ (2.57)
Siegel Paul H.,ECE 101 - Linear Systems Fundamentals (A),FA18,89.0%,95.1%,7.89,B (3.17),B (3.02)
Hall Drew A.,ECE 102 - Intro/Active Circuit Design (A),FA18,82.6%,90.9%,12.24,B- (2.83),B- (2.71)
Ng Tse Nga,ECE 103 - Fundamntls/Devices & Materials (A),FA18,78.9%,63.2%,8.61,B+ (3.44),B (3.07)
Lomakin Vitaliy,ECE 107 - Electromagnetism (A),FA18,89.5%,84.2%,7.76,B (3.16),B- (2.70)
Zeger Kenneth A.,ECE 109 - Engineering Probability&Stats (A),FA18,91.2%,91.2%,6.84,B (3.11),C+ (2.66)
Koushanfar Farinaz,ECE 111 - Advanced Digital Design Proj (A),FA18,68.6%,54.3%,8.44,B+ (3.40),B+ (3.58)
Esmaili Gholamreza,ECE 121A - Power Sys Analysis & Fundmntls (A),FA18,100.0%,83.3%,7.42,B+ (3.31),B (3.20)
Kuzum Duygu,ECE 135A - Semiconductor Physics (A),FA18,100.0%,100.0%,5.3,A- (3.70),
Unpingco Jose H.,ECE 143 - Programming for Data Analysis (A),FA18,85.3%,90.5%,6.63,A- (3.74),B+ (3.60)
Phan Alex Minh Giang,ECE 144 - LabVIEW Programming (A),FA18,100.0%,100.0%,12.36,B (3.29),
Hildebrand John A,ECE 145AL - Acoustics Laboratory (A),FA18,100.0%,100.0%,4.0,B+ (3.67),
de Oliveira Mauricio,ECE 148 - Intro to Autonomous Vehicles (A),FA18,100.0%,100.0%,8.17,A (4.00),
Vardy Alexander,ECE 15 - Engineering Computation (A),FA18,74.8%,80.4%,8.86,B- (2.86),C+ (2.66)
Javidi Tara,ECE 153 - Probability&Random Process/Eng (A),FA18,66.7%,86.7%,7.97,C+ (2.67),B- (2.75)
Milstein Laurence B.,ECE 154A - Communications Systems I (A),FA18,100.0%,100.0%,5.83,B (3.00),
Franceschetti Massimo,ECE 158A - Data Networks I (A),FA18,100.0%,100.0%,3.83,B+ (3.33),B (3.05)
Khoshabeh Ramsin,ECE 16 - Rapid Hardware & Software Dsn (A),FA18,71.4%,85.7%,13.93,B (3.14),B+ (3.46)
Rao Bhaskar D.,ECE 161A - Intr/Digital Signal Processing (A),FA18,75.0%,90.0%,8.8,C+ (2.63),C+ (2.65)
Hall Drew A.,ECE 164 - Analog Integrtd Circuit Design (A),FA18,90.0%,93.1%,13.03,B+ (3.45),B (3.13)
Rebeiz Gabriel,ECE 166 - Microwave Systems and Circuits (A),FA18,100.0%,100.0%,11.71,B+ (3.57),B (3.23)
Sworder David D.,ECE 171B - Linear Control System Theory (A),FA18,100.0%,100.0%,8.28,B+ (3.56),B+ (3.60)
Pal Piya,ECE 174 - Intro/Linear&Nonlinear Optimiz (A),FA18,32.0%,44.0%,12.02,C+ (2.32),C+ (2.55)
Abi Samra Nicholas Camill,ECE 180 - Topics in ECE (A),FA18,100.0%,100.0%,4.72,A- (3.89),B+ (3.61)
Lomakin Vitaliy,ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA18,100.0%,100.0%,5.83,A (4.00),
Liu Zhaowei,ECE 187 - Intro/Biomed Imaging & Sensing (A),FA18,100.0%,100.0%,6.9,A- (3.75),B+ (3.50)
Cosman Pamela C.,ECE 191 - Engineering Group Design Proj (A),FA18,80.0%,75.0%,11.3,B (3.00),
Quest Kevin B,ECE 25 - Introduction to Digital Design (A),FA18,94.7%,94.7%,6.08,B (3.26),B- (2.81)
Taur Yuan,ECE 35 - Introduction to Analog Design (A),FA18,84.6%,71.1%,7.9,B- (2.90),C+ (2.43)
Schurgers Curt,ECE 35 - Introduction to Analog Design (B),FA18,89.9%,94.4%,10.59,B- (2.86),C+ (2.57)
Lugannani Robert,ECE 45 - Circuits and Systems (A),FA18,83.3%,77.8%,6.06,A- (3.71),B+ (3.32)
Eldon John,ECE 5 - Intro to ECE (B),FA18,100.0%,94.7%,6.62,B+ (3.69),B+ (3.66)
Gilja Vikash,ECE 5 - Intro to ECE (B),FA18,100.0%,95.9%,6.62,B+ (3.69),B+ (3.66)
Hall Drew A.,ECE 5 - Intro to ECE (B),FA18,100.0%,98.7%,6.62,B+ (3.69),B+ (3.66)
Nguyen Truong Quang,ECE 5 - Intro to ECE (B),FA18,100.0%,94.9%,6.62,B+ (3.69),B+ (3.66)
Baghdadchi Saharnaz,ECE 65 - Components & Circuits Lab (A),FA18,96.2%,100.0%,7.86,B+ (3.42),B (3.01)
Styler William Francis,LIGN 101 - Introduction/Study of Language (A),FA18,100.0%,100.0%,4.1,B+ (3.67),B+ (3.36)
Garellek Marc,LIGN 110 - Phonetics (A),FA18,95.5%,98.5%,3.8,B+ (3.55),B+ (3.56)
Lott Margaret S.,LIGN 146 - Sociolinguistics/Deaf Communit (A),FA18,90.0%,89.5%,2.4,B+ (3.60),B+ (3.52)
Bergen Leon,LIGN 167 - Deep Learning/Natural Language (A),FA18,87.8%,92.5%,6.55,B+ (3.57),B+ (3.60)
Kluender Robert,LIGN 179 - Second Lang Acquisition Resrc (A),FA18,90.0%,96.6%,8.05,B (3.00),B- (2.72)
Kluender Robert,LIGN 180 - Lang Representation in Brain (A),FA18,81.3%,89.6%,6.76,B- (2.98),B- (2.74)
Goodall Grant Todd,LIGN 5 - Linguistics of Invented Lang (A),FA18,94.6%,100.0%,3.42,B+ (3.54),B- (2.91)
Biswas Priyanka,LIGN 8 - Languages & Cultures/America (A),FA18,85.6%,91.3%,2.84,B+ (3.57),B+ (3.41)
Sarkar Sutanu,MAE 101A - Introductory Fluid Mechanics (A),FA18,83.3%,58.6%,7.47,B (3.00),B (3.04)
Chen Renkun,MAE 101C - Heat Transfer (A),FA18,93.9%,93.8%,6.07,B+ (3.44),B+ (3.32)
Wang Qingyang,MAE 101C - Heat Transfer (B),FA18,100.0%,100.0%,6.28,B+ (3.44),
Lasheras Juan C.,MAE 104 - Aerodynamics (A),FA18,93.9%,93.9%,7.17,B (3.24),B- (2.78)
Saintillan David,MAE 105 - Intro To Mathematical Physics (A),FA18,88.3%,93.2%,8.33,B- (2.88),B- (2.88)
McEneaney William Michael,MAE 107 - Computational Methods/Engineer (A),FA18,92.9%,91.1%,6.06,B+ (3.62),B+ (3.33)
Nomura Keiko K.,MAE 11 - Thermodynamics (A),FA18,88.9%,86.7%,9.97,B+ (3.38),B- (2.87)
Pawlak Geno Ronald,MAE 122 - Flow & Transport/Environment (A),FA18,64.0%,72.0%,8.83,B (3.26),B (3.02)
Loh Chin Hsiung,MAE 130A - Mechanics I: Statics (A),FA18,72.7%,9.1%,5.23,C+ (2.59),B (3.24)
Amaddeo Carmen N.,MAE 130A - Mechanics I: Statics (B),FA18,100.0%,93.8%,6.75,B (3.28),B (3.15)
Zhu Qiang,MAE 130C - Mechanics III: Vibrations (A),FA18,95.7%,95.7%,6.5,B+ (3.39),B (3.12)
Loh Chin Hsiung,MAE 130C - Mechanics III: Vibrations (C),FA18,100.0%,0.0%,9.83,C+ (2.33),
Bahadori Mohammad Yousef,MAE 131A - Solid Mechanics I (A),FA18,92.3%,88.5%,7.88,B (3.12),B- (2.85)
de Oliveira Mauricio,MAE 140 - Linear Circuits (A),FA18,66.2%,71.4%,7.02,B- (2.85),B (3.16)
Bewley Thomas R,MAE 144 - Embedded Control & Robotics (A),FA18,64.0%,44.0%,10.5,B- (2.78),B+ (3.43)
de Oliveira Mauricio,MAE 148 - Intro to Autonomous Vehicles (A),FA18,100.0%,100.0%,9.17,A (4.00),
Silberman Jack,MAE 148 - Intro to Autonomous Vehicles (A),FA18,100.0%,100.0%,9.17,A (4.00),
Talke Frank E,MAE 150 - Computer-Aided Analysis&Design (A),FA18,75.0%,70.2%,10.21,B (3.26),B- (2.71)
Friend James Robert,MAE 150 - Computer-Aided Analysis&Design (B),FA18,89.1%,100.0%,7.98,B+ (3.52),B- (2.97)
Delson Nathan Joseph,MAE 156A - Fund. Prin./Mechanical Desgn I (A),FA18,91.3%,82.6%,11.28,B+ (3.57),B+ (3.48)
Xu Sheng,MAE 166 - Nanomaterials (A),FA18,84.0%,84.0%,3.96,B (3.27),B+ (3.65)
Lal Ratnesh,MAE 170 - Experimental Techniques (A),FA18,48.5%,57.0%,10.93,B (3.21),B (3.11)
Bahadori Mohammad Yousef,MAE 180A - Spacecraft Guidance I (A),FA18,96.7%,93.3%,5.63,B (3.24),C+ (2.67)
Anderson Mark Ronald,MAE 2 - Intro to Aerospace Engineering (A),FA18,97.7%,100.0%,2.92,A- (3.79),B+ (3.35)
McKittrick Joanna M,MAE 20 - Elements of Materials Science (A),FA18,83.7%,79.6%,5.17,B+ (3.59),B (3.19)
Cai Shengqiang,MAE 21 - Aerospace Materials Science (A),FA18,100.0%,94.7%,3.1,A- (3.85),A- (3.75)
Lucas Andrew J.,MAE 3 - Intro/Engineering Graphcs&Desn (A),FA18,80.0%,98.8%,13.83,B+ (3.58),B+ (3.50)
Tolley Michael Thomas,MAE 3 - Intro/Engineering Graphcs&Desn (A),FA18,82.9%,96.0%,15.05,B+ (3.57),B+ (3.43)
Gibson Carl H.,MAE 5 - Quantitative Computer Skills (A),FA18,84.6%,84.0%,4.81,A- (3.84),A- (3.95)
Pham Hieu Tan,MAE 8 - MATLAB Program for Engr Analys (A),FA18,90.1%,96.3%,7.62,B+ (3.44),B (3.24)
Coimbra Carlos F.,MAE 93 - Design Compet/Design Race Car (A),FA18,100.0%,100.0%,6.25,A (4.00),
Hanes Esther,PSYC 1 - Psychology (A),FA18,99.0%,99.0%,3.14,A- (3.73),B+ (3.36)
Rose Fred E.,PSYC 100 - Clinical Psychology (A),FA18,96.9%,96.9%,6.36,B (3.28),B- (2.78)
Heyman Gail D.,PSYC 101 - Developmental Psychology (A),FA18,90.2%,87.8%,5.47,B+ (3.31),B- (2.94)
Serences John Thomas,PSYC 102 - Sensory Neuroscience (A),FA18,97.9%,99.3%,5.78,B+ (3.50),B+ (3.41)
Frederick David A,PSYC 104 - Social Psychology (A),FA18,96.3%,95.4%,4.54,B+ (3.45),B (3.25)
Geller Emma Harlan,PSYC 105 - Cognitive Psychology (A),FA18,99.4%,99.4%,5.27,B+ (3.37),B- (2.94)
Winkielman Piotr,PSYC 114 - Lab/Psychophysiological Persp (B),FA18,85.7%,85.7%,4.07,B+ (3.50),A- (3.80)
Lang Ariel,PSYC 116A - Lab/Clinical Psych Research I (A),FA18,94.4%,94.4%,3.61,A- (3.71),
Winward Jennifer Laven,PSYC 116A - Lab/Clinical Psych Research I (B),FA18,100.0%,100.0%,4.5,B+ (3.58),A- (3.88)
Lacefield Katharine I,PSYC 124 - Clinical Assessment/Treatment (A),FA18,96.1%,98.7%,4.26,A- (3.75),A- (3.71)
Golden Susan S.,PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA18,84.4%,88.9%,6.77,B (3.12),B- (2.74)
Gorman Michael R.,PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA18,84.4%,88.9%,6.77,B (3.12),B- (2.74)
Kaye Walter H.,PSYC 134 - Eating Disorders (A),FA18,98.2%,91.1%,3.64,A- (3.76),B+ (3.37)
Breit Kristen Rian,PSYC 141 - Evolution and Human Nature (A),FA18,96.4%,100.0%,6.29,A- (3.78),A- (3.79)
Momma Shota,PSYC 145 - Psychology of Language (A),FA18,95.2%,100.0%,3.13,A- (3.70),A- (3.81)
